32,1020209,Bat Trang Thum Kaeut,"E102° 59'' 19.902'"","N13° 32'' 06.069'"",Village,1,102,10202,1020209,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
33,1020210,Bang Bat Touch,"E102° 59'' 17.889'"","N13° 32'' 35.887'"",Village,1,102,10202,1020210,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
34,1020211,Preaek Chik,"E102° 59'' 05.746'"","N13° 33'' 00.287'"",Village,1,102,10202,1020211,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
35,10203,Chamnaom,E102° 56' 10.251,N13° 26' 39.220,Commune,1,102,10203,,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
36,1020301,Pralay Char,"E102° 57'' 12.166'"","N13° 27'' 03.638'"",Village,1,102,10203,1020301,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
37,1020302,Rongvean Lech,"E102° 56'' 36.824'"","N13° 27'' 08.556'"",Village,1,102,10203,1020302,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
38,1020303,Rongvean Kaeut,"E102° 56'' 38.342'"","N13° 26'' 58.157'"",Village,1,102,10203,1020303,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
39,1020304,Chamnaom Lech,"E102° 56'' 03.960'"","N13° 26'' 48.050'"",Village,1,102,10203,1020304,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
40,1020305,Chamnaom Kaeut,"E102° 56'' 08.049'"","N13° 26'' 32.435'"",Village,1,102,10203,1020305,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
41,1020306,Roung Kou Daeum,"E102° 55'' 58.578'"","N13° 26'' 04.997'"",Village,1,102,10203,1020306,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
42,1020307,Roung Kou Kandal,"E102° 56'' 02.334'"","N13° 25'' 49.444'"",Village,1,102,10203,1020307,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
43,1020308,Roung Kou Chong,"E102° 56'' 00.285'"","N13° 25'' 40.285'"",Village,1,102,10203,1020308,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
44,1020309,Peam Roung Kou,"E102° 55'' 58.857'"","N13° 25'' 28.561'"",Village,1,102,10203,1020309,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
45,1020310,Ta Sal,"E102° 55'' 59.266'"","N13° 25'' 00.130'"",Village,1,102,10203,1020310,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
46,1020311,Chuor Khchas,"E102° 57'' 22.752'"","N13° 24'' 36.638'"",Village,1,102,10203,1020311,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
47,1020312,Boeng Tras,"E102° 58'' 04.666'"","N13° 24'' 39.807'"",Village,1,102,10203,1020312,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
48,1020313,Dang Trang,"E102° 58'' 40.318'"","N13° 24'' 52.880'"",Village,1,102,10203,1020313,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
49,1020314,Srae Prey,"E102° 57'' 55.586'"","N13° 25'' 12.301'"",Village,1,102,10203,1020314,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
50,1020315,Bos Tonloab,"E102° 57'' 46.925'"","N13° 26'' 01.943'"",Village,1,102,10203,1020315,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
51,1020316,Ta  Bun,"E102° 57'' 06.097'"","N13° 25'' 24.198'"",Village,1,102,10203,1020316,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
52,1020317,Kouk Ponley,"E102° 58'' 09.246'"","N13° 26'' 27.272'"",Village,1,102,10203,1020317,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
53,1020318,Saysaman,"E102° 50'' 31.819'"","N13° 26'' 43.734'"",Village,1,102,10203,1020318,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
54,10204,Kouk Ballangk,"E103° 05'' 51.434'"","N13° 28'' 18.156'"",Commune,1,102,10204,,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
55,1020401,Kouk Ballangk,"E103° 04'' 56.307'"","N13° 28'' 10.611'"",Village,1,102,10204,1020401,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
56,1020402,Ta An,"E103° 05'' 21.095'"","N13° 28'' 12.167'"",Village,1,102,10204,1020402,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
57,1020403,Pralay Chrey,"E103° 05'' 38.079'"","N13° 28'' 16.883'"",Village,1,102,10204,1020403,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
58,1020404,Cheung Chab,"E103° 06'' 00.503'"","N13° 28'' 18.973'"",Village,1,102,10204,1020404,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
59,1020405,Phat Sandaong,"E103° 06'' 32.364'"","N13° 28'' 21.751'"",Village,1,102,10204,1020405,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
